表格名稱,"中文：地址
英文：ADDRESS",,索引鍵,,,,
主鍵,address_id,,外來鍵,district_id → DISTRICT(district_id),,,
欄位編號,欄位名稱,欄位敘述,資料型態,欄位長度/允許值,備註,,
1,address_id,地址 ID,INT,,NOT NULL (PK),,
2,district_id,行政區 ID,INT,,(FK) 對應 DISTRICT.district_id,,
3,Latitude,緯度,DECIMAL,"9,6",NOT NULL；CHECK (Latitude BETWEEN -90 AND 90),,
4,Longitude,經度,DECIMAL,"9,6",NOT NULL；CHECK (Longitude BETWEEN -180 AND 180),,
5,street,路名與門牌,NVARCHAR,,例：復興南路一段 390 號 10 樓,,
6,created_at,建立時間,DATETIME2,,建立紀錄時間,,
7,updated_at,更新時間,DATETIME2,,最後更新時間,,
,,,,,,,
表格名稱,"中文：訂單
英文：BOOKING",,索引鍵,,,,
主鍵,booking_id,,外來鍵,"coupon_id → COUPON.coupon_id
 room_id → ROOM_LIST.room_id", guest_id → USER.user_id,,
欄位編號,欄位名稱,欄位敘述,資料型態,欄位長度/允許值,備註,,
1,booking_id,訂單 ID,INT,,NOT NULL (PK),,
2,coupon_id,優惠券 ID,INT,,(FK) 對應 COUPON.coupon_id,,
3,guest_id,旅客 ID,INT,,(FK) 對應 USER.user_id (role=guest),,
4,room_id,房源 ID,INT,,(FK) 對應 ROOM_LIST.room_id,,
5,order_number,訂單編號,NVARCHAR,,,,
6,check_in,入住時間,DATETIME2,,例：2025-02-10 15:00,,
7,check_out,退房時間,DATETIME2,,例：2025-02-12 11:00,,
8,total_price,實付總額,DECIMAL,,含清潔費、服務費、折扣,,
9,commission_rate_snapshot,抽成比例快照,DECIMAL,,,,
10,points_earned,獲得點數,INT,,,,
11,points_redeemed,折抵點數,INT,,,,
12,status,訂單狀態,NVARCHAR,,例：pending / confirmed / cancelled,,
13,created_at,建立時間,DATETIME2,,,,
,,,,,,,
表格名稱,"中文：使用者
英文：USER",,索引鍵,,,,
主鍵,user_id,,外來鍵,,,,
欄位編號,欄位名稱,欄位敘述,資料型態,欄位長度/允許值,備註,,
1,user_id,使用者 ID,INT,,NOT NULL (PK),,
2,username,使用者帳號,NVARCHAR,,NOT NULL ,,
3,email,電子郵件,NVARCHAR,,例：ming@example.com,,
4,name,姓名,NVARCHAR,,例：王小明,,
5,auto_subscribe,自動訂閱,BIT,,true/false,,
6,password_hash,雜湊密碼,NVARCHAR,,禁止明碼存放,,
7,gender,性別,VARCHAR,,,,
8,birth_date,生日,DATETIME2,,NOT NULL ,,
9,phone,手機號碼,NVARCHAR,,例：09xx-xxx-xxx,,
10,address,聯絡地址,NVARCHAR,,,,
11,profile_imageurl,頭像路徑檔,NVARCHAR,,,,
12,point,點數,INT,,行銷/客服補償用,,
13,isverified,是否Email驗證,BIT,,是否通過Email驗證,,
14,created_at,建立時間,DATETIME2,,建議存 UTC（台灣時區 +8）,,
15,updated_at,最後更新時間,DATETIME2,,,,
,,,,,,,
表格名稱,"中文：入住人資料
英文：BOOKING_GUEST",,索引鍵,,,,
主鍵,booking_guest_id,,外來鍵,booking_id → BOOKING.booking_id,,,
欄位編號,欄位名稱,欄位敘述,資料型態,欄位長度/允許值,備註,,
1,booking_guest_id,入住人資料 ID,INT,,NOT NULL (PK),,
2,booking_id,訂單 ID,INT,,(FK) 對應 BOOKING.booking_id,,
3,guest_name,入住人姓名,NVARCHAR,,例：陳OO,,
4,guest_id_number,身分證字號,NVARCHAR,,例：A123456789（可加密/遮罩）,,
,,,,,,,
表格名稱,"中文：城市
英文：CITY",,索引鍵,,,,
主鍵,city_id,,外來鍵,,,,
欄位編號,欄位名稱,欄位敘述,資料型態,欄位長度/允許值,備註,,
1,city_id,城市 ID,INT,,NOT NULL (PK),,
2,city_name,城市名稱,NVARCHAR,,例：台北市、台中市,,
,,,,,,,
表格名稱,"中文：優惠券
英文：COUPON",,索引鍵,,,,
主鍵,coupon_id,,外來鍵,,,,
欄位編號,欄位名稱,欄位敘述,資料型態,欄位長度/允許值,備註,,
1,coupon_id,優惠券 ID,INT,,NOT NULL (PK),,
2,coupon_name,券名,NVARCHAR,,例：開站早鳥 9 折,,
3,discount_code,折扣代碼,NVARCHAR,,,,
4,description,券說明,NVARCHAR,,例：限週末訂單使用,,
5,min_rental_period,最短租期,INT,,單筆訂房大於N天才可使用本優惠,,
6,max_rental_period,最長租期,INT,,單筆訂房小於N天才可使用本優惠,,
7,start_rental_period,租期區間開始,DATETIME2,,訂單租房時間需於此區間內才可使用本優惠,,
8,end_rental_period,租期區間結束,DATETIME2,,訂單租房時間需於此區間內才可使用本優惠,,
9,discount_method,折扣型態,NVARCHAR,,例：percentage / amount,,
10,discount_quota,折扣數值,DECIMAL,,例：0.9=9折；200=折200元,,
11,end_at,截止時間,DATETIME2,,,,
12,low_spend,最低消費門檻,DECIMAL,,例：滿2000才可用,,
13,start_at,生效時間,DATETIME2,,,,
,,,,,,,
表格名稱,"中文：優惠券指定使用地點
英文：COUPON_DISTRICT",,索引鍵,,,,
主鍵,coupon_district_id,,外來鍵,"coupon_id → COUPON.coupon_id
district_id → DISTRICT.district_id", guest_id → USER.user_id,,
欄位編號,欄位名稱,欄位敘述,資料型態,欄位長度/允許值,備註,,
1,coupon_district_id,發放紀錄 ID,INT,,NOT NULL (PK),,
2,coupon_id,優惠券 ID,INT,,(FK) 對應 COUPON.coupon_id,,
